lakeid,year4,daynum,sampledate,thermocline_depth,epi_wtemp,detph_1mg_per_l_do,depth_max_do,depth_1percent_surf_irrad,thermocline_light,secchi,rain_daily,staff_gauge
"L",2002,150,2002-05-30,1.50,19.60,5.50,4.00,4.50,21.38,4.00,,
"R",2002,154,2002-06-03,3.00,17.50,6.00,4.00,5.00,6.81,2.50,,15.88
"T",2002,155,2002-06-04,2.00,16.00,8.00,2.50,3.10,4.33,1.85,,
"L",2002,156,2002-06-05,3.00,15.30,5.50,3.50,4.20,4.71,4.10,6.00,
"R",2002,161,2002-06-10,3.00,19.50,6.00,4.00,4.50,5.19,2.10,,15.90
"T",2002,162,2002-06-11,1.50,20.70,7.00,2.50,3.30,9.94,2.05,34.00,
"L",2002,163,2002-06-12,3.00,18.40,5.50,4.00,4.30,4.29,3.50,1.00,
"R",2002,168,2002-06-17,3.00,18.40,6.50,3.50,4.20,3.73,2.80,,16.18
"T",2002,169,2002-06-18,2.50,19.10,7.00,3.00,3.00,1.85,,,
"L",2002,170,2002-06-19,3.50,19.70,5.50,3.50,4.50,3.17,3.75,,
"R",2002,175,2002-06-24,3.00,21.90,6.00,4.50,4.70,5.20,2.70,13.50,16.10
"T",2002,176,2002-06-25,2.50,23.30,6.50,3.00,3.30,2.42,2.20,,
"L",2002,177,2002-06-26,2.50,23.80,6.00,4.50,4.40,6.27,4.15,,
"R",2002,182,2002-07-01,3.00,27.00,6.50,4.00,3.70,1.79,1.30,,16.00
"T",2002,183,2002-07-02,1.50,26.70,6.50,3.50,3.30,9.07,2.40,,61.50
"L",2002,184,2002-07-03,2.00,27.20,5.50,4.50,4.80,10.55,4.10,1.40,58.90
"R",2002,189,2002-07-08,2.50,26.30,6.00,4.00,4.80,7.69,1.90,16.00,15.92
"T",2002,190,2002-07-09,2.50,25.80,6.00,2.50,3.40,2.49,2.40,,58.00
"L",2002,191,2002-07-10,2.50,24.90,5.50,4.00,5.00,7.49,4.40,,67.00
"R",2002,196,2002-07-15,3.00,25.80,6.00,3.50,4.20,2.88,1.60,,15.80
"T",2002,197,2002-07-16,2.50,26.20,6.00,3.50,3.10,2.24,2.60,,53.00
"L",2002,198,2002-07-17,2.50,26.40,5.00,3.50,4.70,7.69,3.80,,53.80
"R",2002,203,2002-07-22,2.50,25.50,5.50,3.50,3.60,2.88,1.20,41.00,15.88
"T",2002,204,2002-07-23,2.50,24.20,10.00,4.00,3.10,2.18,2.25,0.80,54.40
"L",2002,205,2002-07-24,3.00,24.10,5.50,4.00,4.50,4.30,3.75,,66.20
"R",2002,210,2002-07-29,3.00,25.10,5.50,2.50,2.90,0.93,0.95,7.00,15.80
"T",2002,211,2002-07-30,3.00,25.10,5.50,3.50,4.40,1.32,2.25,,51.70
"L",2002,212,2002-07-31,3.50,25.40,5.50,3.50,5.00,3.79,4.00,9.00,65.00
"R",2002,217,2002-08-05,3.00,22.80,5.50,3.00,3.30,1.30,1.50,,15.86
"T",2002,218,2002-08-06,3.00,22.50,5.00,3.50,3.10,1.14,2.30,,52.80
"L",2002,219,2002-08-07,3.50,22.00,5.50,3.50,4.70,3.39,4.00,,66.70
"R",2002,224,2002-08-12,4.00,23.40,6.00,3.00,3.90,1.25,1.45,0.50,15.75
"T",2002,225,2002-08-13,3.00,23.20,5.00,3.50,3.70,2.10,2.25,2.60,48.80
"L",2002,226,2002-08-14,4.00,22.70,5.50,3.50,4.80,2.39,4.25,,64.40
"R",2002,231,2002-08-19,3.50,20.40,5.50,3.50,3.50,0.99,1.45,,15.74
"T",2002,232,2002-08-20,3.50,20.30,5.00,2.00,3.40,0.84,2.20,,48.40
"L",2002,233,2002-08-21,4.50,20.50,5.50,4.00,5.30,2.46,3.75,33.00,67.50
"R",2002,238,2002-08-26,3.50,21.60,5.50,3.50,4.10,1.79,2.00,,15.79
"T",2002,239,2002-08-27,3.50,21.80,12.00,3.50,3.80,1.35,2.50,,49.50
"L",2002,240,2002-08-28,4.00,21.40,5.00,0.50,5.10,3.13,4.20,,
"R",2002,246,2002-09-03,3.50,21.50,5.00,3.00,4.50,2.39,2.25,,15.72
"T",2002,247,2002-09-04,3.00,20.80,4.50,3.50,3.40,1.55,2.90,,47.20
"R",2003,147,2003-05-27,3.00,17.00,6.00,3.50,5.40,7.97,3.60,,15.78
"L",2003,148,2003-05-28,2.50,18.40,6.00,4.50,5.60,11.72,3.70,1.20,77.00
"W",2003,149,2003-05-29,2.50,17.30,12.00,2.50,3.50,2.86,2.70,,84.50
"R",2003,153,2003-06-02,3.50,16.40,6.00,3.50,5.70,7.26,2.60,,15.66
"L",2003,154,2003-06-03,3.00,17.20,5.50,4.00,4.90,7.75,4.75,,69.60
"M",2003,155,2003-06-04,4.50,18.10,,6.00,7.00,5.18,,,
"R",2003,160,2003-06-09,3.00,17.50,6.00,4.00,5.80,11.15,4.40,0.40,15.59
"L",2003,161,2003-06-10,3.50,17.30,6.00,4.00,6.10,5.20,3.65,11.00,70.00
"W",2003,162,2003-06-11,3.00,17.20,11.00,0.00,3.70,1.99,2.90,1.60,3.80
"R",2003,167,2003-06-16,3.50,21.20,6.00,4.50,5.70,7.27,4.30,,
"L",2003,168,2003-06-17,3.00,23.00,5.50,4.50,5.60,7.60,4.60,,67.50
"M",2003,169,2003-06-18,4.50,22.50,12.00,6.00,6.50,14.39,5.50,,
"R",2003,174,2003-06-23,3.00,22.80,6.50,4.00,6.20,11.25,3.60,,15.44
"L",2003,175,2003-06-24,3.00,23.50,5.50,4.50,5.60,5.84,5.00,6.50,66.00
"W",2003,176,2003-06-25,2.50,24.40,9.00,0.50,3.70,3.60,2.30,7.00,81.00
"R",2003,181,2003-06-30,3.50,20.40,6.00,4.00,5.70,6.05,4.10,,15.40
"L",2003,182,2003-07-01,3.50,21.50,5.50,4.00,4.80,3.16,5.80,,65.00
"M",2003,183,2003-07-02,4.00,21.80,11.00,8.00,7.50,9.45,4.90,8.00,
"R",2003,188,2003-07-07,3.00,24.50,6.50,4.00,6.10,10.00,4.40,,15.38
"L",2003,189,2003-07-08,3.50,23.80,5.50,4.50,5.30,3.82,4.50,,63.80
"W",2003,190,2003-07-09,2.50,22.70,6.50,0.00,3.50,2.91,3.80,,40.00
"R",2003,195,2003-07-14,3.50,22.50,6.00,4.50,5.90,7.44,2.60,,15.34
"L",2003,196,2003-07-15,4.00,21.90,5.50,4.50,5.20,2.38,3.20,3.80,64.00
"M",2003,197,2003-07-16,5.00,22.20,10.00,7.00,7.80,5.24,3.90,,
"R",2003,202,2003-07-21,3.50,23.00,6.00,4.50,6.10,8.89,3.80,,15.28
"L",2003,203,2003-07-22,3.50,21.40,5.50,4.50,4.50,2.32,3.40,1.50,61.70
"W",2003,204,2003-07-23,3.00,21.00,6.00,0.00,3.20,1.29,3.00,,71.70
"R",2003,209,2003-07-28,3.50,23.00,6.50,3.50,6.00,9.48,3.50,,15.22
"L",2003,210,2003-07-29,3.50,23.10,5.50,4.50,4.60,2.91,3.75,,59.50
"M",2003,211,2003-07-30,5.00,23.20,10.00,8.00,8.00,7.15,4.60,20.50,
"R",2003,216,2003-08-04,3.50,22.70,6.50,4.50,6.40,9.38,3.40,1.25,15.24
"L",2003,217,2003-08-05,4.50,23.10,5.50,4.00,4.90,1.45,4.60,,61.00
"W",2003,218,2003-08-06,3.00,23.40,3.00,0.50,3.50,1.91,2.80,,70.80
"R",2003,223,2003-08-11,4.50,23.40,6.50,4.00,6.50,5.58,4.20,,15.18
"L",2003,224,2003-08-12,4.00,22.40,5.50,4.00,4.90,2.25,4.75,,58.00
"M",2003,225,2003-08-13,5.50,23.40,10.00,8.00,6.90,3.24,5.20,,
"R",2003,230,2003-08-18,4.00,24.90,6.50,4.00,6.10,5.21,4.30,,15.08
"L",2003,231,2003-08-19,4.50,25.10,5.50,0.00,5.10,1.80,4.60,,55.50
"W",2003,232,2003-08-20,3.50,24.90,3.00,0.00,3.60,1.16,3.00,26.40,77.50
"R",2003,237,2003-08-25,4.50,23.60,6.50,4.50,6.30,4.23,4.00,,15.11
"L",2003,238,2003-08-26,5.00,23.30,5.50,0.00,5.20,1.17,4.50,12.50,58.60
"M",2003,239,2003-08-27,6.00,23.50,9.00,7.00,6.70,1.93,4.50,,
"L",2004,146,2004-05-25,3.50,12.00,5.00,4.00,5.00,4.71,4.20,,77.40
"R",2004,147,2004-05-26,3.50,12.50,5.50,4.00,5.30,6.02,4.25,,15.83
"W",2004,148,2004-05-27,4.00,13.50,10.00,0.00,3.20,0.41,2.00,9.00,92.70
"M",2004,149,2004-05-28,6.00,13.30,15.00,6.50,7.50,3.56,5.24,,
"L",2004,153,2004-06-01,3.50,13.80,5.00,4.00,5.10,4.39,4.20,6.00,78.30
"R",2004,154,2004-06-02,4.00,13.90,5.50,3.50,5.40,2.77,3.90,,15.90
"W",2004,155,2004-06-03,3.50,14.90,8.00,0.00,3.00,0.63,2.50,,3.65
"M",2004,156,2004-06-04,6.00,15.90,16.00,7.00,8.00,2.73,5.90,,
"L",2004,159,2004-06-07,3.50,19.70,5.00,4.00,5.20,5.72,3.90,,16.50
"E",2004,160,2004-06-08,2.00,22.20,9.00,2.00,3.00,2.13,2.60,,92.50
"W",2004,161,2004-06-09,2.00,21.00,6.00,2.00,3.10,3.70,2.20,5.00,92.30
"M",2004,162,2004-06-10,4.00,18.30,15.00,8.00,7.70,7.62,5.20,,
"L",2004,166,2004-06-14,2.50,19.70,5.50,4.00,5.10,9.01,2.90,15.00,76.00
"R",2004,167,2004-06-15,3.50,20.10,5.50,3.50,7.00,4.40,2.30,2.20,15.80
"W",2004,168,2004-06-16,3.50,21.10,5.50,0.00,3.00,0.59,2.40,,92.20
"M",2004,169,2004-06-17,5.00,20.30,14.00,8.00,8.00,6.82,5.10,,
"L",2004,173,2004-06-21,3.00,19.60,5.50,4.00,5.20,7.34,3.90,,73.30
"E",2004,174,2004-06-22,3.00,19.40,7.00,0.00,2.90,0.81,1.60,,88.00
"W",2004,175,2004-06-23,3.00,18.60,4.50,0.00,3.00,1.00,2.40,8.40,88.40
"M",2004,176,2004-06-24,4.50,18.20,13.00,8.00,8.00,7.05,4.10,7.00,
"L",2004,180,2004-06-28,3.50,17.60,5.50,4.00,5.20,5.15,4.60,,72.40
"R",2004,181,2004-06-29,3.50,19.00,5.00,3.50,5.30,3.97,2.00,,15.62
"W",2004,182,2004-06-30,3.50,20.20,4.50,0.00,2.80,0.35,1.40,,96.10
"M",2004,183,2004-07-01,6.00,19.80,11.00,8.00,7.70,3.39,5.00,6.00,
"L",2004,188,2004-07-06,3.50,19.10,5.50,4.00,5.60,5.02,4.10,2.30,71.00
"E",2004,189,2004-07-07,3.50,17.30,6.50,1.00,1.90,0.22,2.20,,84.60
"W",2004,190,2004-07-08,3.00,16.60,3.50,0.00,2.70,0.59,2.10,,84.70
"M",2004,191,2004-07-09,5.50,18.10,12.00,8.00,7.50,3.64,4.70,,
"L",2004,194,2004-07-12,4.00,21.30,5.50,4.50,5.30,4.06,3.60,,70.70
"R",2004,195,2004-07-13,3.50,22.60,5.00,4.00,5.50,4.88,3.00,3.00,15.56
"W",2004,196,2004-07-14,3.50,21.20,3.50,0.50,2.50,0.25,2.10,,83.00
"M",2004,197,2004-07-15,6.00,21.80,11.00,8.00,7.10,2.22,4.80,,
"L",2004,201,2004-07-19,4.00,22.70,5.50,4.50,5.10,2.67,4.00,,68.50
"E",2004,202,2004-07-20,2.00,23.70,5.00,0.00,2.40,1.88,2.10,0.50,77.90
"W",2004,203,2004-07-21,2.00,24.70,3.00,0.00,2.60,2.16,1.90,,77.90
"M",2004,204,2004-07-22,8.00,23.80,11.00,8.00,7.50,0.65,4.00,,
"L",2004,208,2004-07-26,4.00,21.80,5.50,4.50,5.30,3.12,4.30,,65.70
"R",2004,209,2004-07-27,3.00,22.50,6.00,3.50,5.40,81.79,3.70,,15.36
"W",2004,210,2004-07-28,3.00,22.60,3.00,1.00,2.40,0.39,1.70,,76.40
"M",2004,211,2004-07-29,4.50,22.70,10.00,8.00,7.30,8.38,3.70,5.00,
"L",2004,215,2004-08-02,3.50,23.70,6.00,5.00,5.20,4.16,3.50,10.00,64.80
"E",2004,216,2004-08-03,3.00,23.30,2.50,0.00,2.50,0.44,2.40,,75.80
"W",2004,217,2004-08-04,2.50,23.10,2.50,1.00,2.50,0.98,4.20,,75.70
"M",2004,218,2004-08-05,8.00,22.50,10.00,5.50,6.40,0.26,3.60,,
"L",2004,222,2004-08-09,3.50,21.40,6.00,5.00,5.00,3.37,4.30,1.00,62.00
"R",2004,223,2004-08-10,3.50,21.10,6.50,3.50,6.10,9.27,3.70,8.40,15.24
"W",2004,224,2004-08-11,3.00,18.70,3.00,0.00,2.90,0.91,2.40,10.20,74.90
"M",2004,225,2004-08-12,6.00,19.00,10.00,8.00,6.30,1.38,3.80,9.60,
"L",2004,229,2004-08-16,4.50,18.50,5.50,5.00,5.60,3.15,3.80,,62.40
"E",2004,230,2004-08-17,3.50,18.00,3.50,0.00,3.00,0.45,2.40,,74.80
"W",2004,231,2004-08-18,3.50,18.00,3.00,0.00,2.80,0.37,2.40,,74.80
"M",2004,232,2004-08-19,6.50,18.50,10.00,0.00,6.50,1.01,4.10,,
"M",2005,136,2005-05-16,,10.90,,0.00,,,,,
"M",2005,138,2005-05-18,6.00,11.20,,4.00,8.50,4.75,6.20,,
"M",2005,143,2005-05-23,8.00,13.70,16.00,4.00,9.40,2.94,5.60,,
"L",2005,144,2005-05-24,1.50,16.40,6.00,4.50,5.80,39.60,5.10,,
"R",2005,144,2005-05-24,2.00,15.50,6.00,4.00,5.60,27.89,5.25,,15.51
"M",2005,151,2005-05-31,4.00,17.00,,4.50,9.00,14.65,6.40,0.00,
"L",2005,152,2005-06-01,2.50,18.70,6.00,4.50,5.80,15.95,5.30,0.00,
"R",2005,152,2005-06-01,2.50,18.20,6.00,4.50,5.80,18.17,4.45,0.00,15.46
"M",2005,157,2005-06-06,4.50,20.20,12.00,5.00,11.00,17.35,5.40,0.00,
"L",2005,158,2005-06-07,2.00,21.20,6.00,5.00,5.70,17.65,4.90,0.00,
"R",2005,158,2005-06-07,2.00,20.70,6.00,4.00,6.50,25.84,4.20,0.00,15.51
"M",2005,164,2005-06-13,3.50,22.70,12.00,4.50,9.30,21.19,5.50,80.00,
"L",2005,165,2005-06-14,2.50,23.10,6.50,5.00,5.80,11.91,4.30,6.50,
"R",2005,165,2005-06-14,3.00,23.00,6.50,4.50,6.70,12.51,4.40,6.50,15.58
"M",2005,171,2005-06-20,4.50,22.70,11.00,5.50,8.90,15.45,4.90,0.00,
"L",2005,172,2005-06-21,2.50,23.30,6.50,5.00,5.90,14.48,5.10,0.00,
"R",2005,172,2005-06-21,3.00,22.80,6.50,4.50,6.20,10.41,4.50,0.00,15.51
"M",2005,178,2005-06-27,4.50,24.20,11.00,5.50,8.90,12.49,5.00,41.00,40.00
"L",2005,179,2005-06-28,3.00,25.10,6.50,5.00,5.80,9.40,4.80,0.50,50.00
"R",2005,179,2005-06-28,3.00,24.40,6.00,5.00,6.00,9.35,4.40,0.50,15.58
"L",2005,185,2005-07-04,3.50,23.10,6.50,5.00,5.50,4.14,3.70,0.00,48.00
"R",2005,185,2005-07-04,3.50,22.70,6.00,4.50,5.80,5.98,3.80,0.00,15.52
"M",2005,186,2005-07-05,5.00,22.30,10.00,5.50,9.00,9.39,4.90,1.40,44.00
"M",2005,192,2005-07-11,5.50,25.70,11.00,5.50,8.70,7.45,5.30,0.00,42.00
"L",2005,193,2005-07-12,4.00,27.70,6.50,5.00,5.60,3.43,4.20,0.00,45.00
"R",2005,193,2005-07-12,3.50,26.90,6.00,4.50,6.10,8.47,4.50,0.00,15.42
"M",2005,199,2005-07-18,5.50,27.50,10.00,5.50,9.00,8.16,5.50,0.00,40.00
"L",2005,200,2005-07-19,3.00,26.00,6.50,4.50,5.60,6.58,5.25,0.00,42.00
"R",2005,200,2005-07-19,3.50,25.80,6.00,4.50,5.90,6.11,3.90,0.00,15.30
"M",2005,206,2005-07-25,5.00,25.30,11.00,5.50,8.50,8.10,4.70,1.50,46.00
"L",2005,207,2005-07-26,3.50,23.80,6.50,5.50,4.90,3.00,4.00,7.80,48.50
"R",2005,207,2005-07-26,3.50,24.20,6.00,4.00,6.30,6.76,3.70,7.80,15.53
"M",2005,213,2005-08-01,5.50,24.50,10.00,5.50,8.60,7.02,5.10,0.00,44.50
"L",2005,214,2005-08-02,4.50,25.30,6.00,5.00,4.70,1.15,4.00,0.00,46.50
"R",2005,214,2005-08-02,4.50,25.30,5.50,4.00,5.80,2.78,3.75,0.00,15.48
"M",2005,220,2005-08-08,6.50,25.00,10.00,5.50,7.80,2.33,4.90,0.00,41.00
"L",2005,221,2005-08-09,4.00,24.90,6.00,5.00,5.50,2.55,4.00,71.00,45.00
"R",2005,221,2005-08-09,4.00,25.30,6.00,4.50,6.30,4.87,3.70,71.00,15.43
"L",2005,227,2005-08-15,4.00,22.40,6.00,0.00,5.20,2.65,4.50,0.00,43.00
"R",2005,227,2005-08-15,4.00,22.70,5.50,4.50,4.80,2.54,3.30,0.00,15.36
"M",2005,228,2005-08-16,6.00,23.80,10.00,1.00,8.50,4.99,5.50,61.00,39.50
"M",2005,234,2005-08-22,6.50,21.10,9.00,0.00,9.90,3.48,5.40,0.00,39.00
"L",2005,235,2005-08-23,4.50,20.30,5.50,0.00,5.40,1.81,4.60,0.00,42.00
"R",2005,235,2005-08-23,4.50,20.80,5.50,0.00,5.30,1.82,2.90,0.00,15.32
"M",2005,241,2005-08-29,7.00,20.60,9.00,0.00,8.50,2.40,4.70,0.00,36.50
"M",2005,249,2005-09-06,7.00,20.80,9.00,0.00,8.90,3.69,4.20,0.00,34.00
"M",2005,254,2005-09-11,7.00,21.10,9.00,0.00,9.10,3.36,4.90,0.00,32.00
"E",2006,136,2006-05-16,4.50,11.20,6.00,0.50,,,2.25,1.52,95.60
"E",2006,137,2006-05-17,2.50,12.20,6.00,0.00,3.40,3.20,2.80,1.52,95.80
"W",2006,137,2006-05-17,4.00,12.40,5.00,2.00,3.40,,3.10,1.52,95.80
"R",2006,142,2006-05-22,2.50,12.90,5.00,3.50,4.90,11.74,3.75,0.00,15.68
"L",2006,143,2006-05-23,3.00,14.00,6.00,4.50,5.40,8.52,5.20,0.00,60.00
"M",2006,144,2006-05-24,2.50,15.40,11.00,5.00,8.40,23.15,4.80,0.00,53.00
"L",2006,149,2006-05-29,1.50,23.80,6.00,4.50,4.90,26.55,4.60,0.00,62.80
"R",2006,149,2006-05-29,1.50,22.40,5.50,3.50,4.90,31.13,3.00,0.00,15.73
"W",2006,150,2006-05-30,,,,,,,,0.00,
"E",2006,151,2006-05-31,1.50,23.80,4.50,2.50,3.20,11.55,2.20,0.00,96.50
"W",2006,151,2006-05-31,1.50,23.70,4.50,3.00,3.70,8.94,2.00,0.00,96.50
"L",2006,156,2006-06-05,2.50,22.40,6.00,3.00,5.50,11.74,5.20,0.00,59.00
"R",2006,156,2006-06-05,2.00,21.80,5.50,4.00,4.90,19.09,3.90,0.00,15.58
"M",2006,157,2006-06-06,3.00,22.00,10.00,3.50,8.50,17.10,4.90,2.54,52.00
"L",2006,163,2006-06-12,3.00,19.60,5.50,3.50,5.60,7.65,4.70,0.00,58.00
"R",2006,163,2006-06-12,3.00,19.40,5.50,4.00,5.30,10.05,3.70,0.00,15.50
"E",2006,164,2006-06-13,2.50,19.80,4.00,3.00,3.20,2.05,2.75,0.00,93.00
"W",2006,164,2006-06-13,2.50,20.00,4.00,3.00,3.30,2.17,3.00,0.00,93.00
"R",2006,170,2006-06-19,3.00,23.00,5.50,4.00,5.70,11.36,3.40,0.25,15.40
"L",2006,171,2006-06-20,3.00,21.70,5.50,3.00,4.50,4.01,4.90,0.25,55.00
"M",2006,172,2006-06-21,4.00,21.80,10.00,4.50,12.00,10.27,4.75,0.00,49.00
"L",2006,177,2006-06-26,3.00,22.50,5.50,4.00,5.20,5.77,4.75,0.00,52.00
"R",2006,177,2006-06-26,3.50,22.00,6.00,4.50,5.40,6.53,4.65,0.00,15.30
"E",2006,178,2006-06-27,2.50,22.50,4.00,0.00,3.30,2.47,2.90,0.00,86.70
"W",2006,179,2006-06-28,2.50,21.50,4.00,0.00,3.20,2.05,2.80,0.00,86.00
"L",2006,184,2006-07-03,3.50,22.80,5.50,3.00,5.30,3.89,3.90,0.25,50.50
"R",2006,184,2006-07-03,3.50,23.30,6.00,4.50,5.70,7.32,3.40,0.25,15.27
"M",2006,186,2006-07-05,4.50,22.70,10.00,4.00,7.60,8.22,4.50,0.00,45.00
"L",2006,191,2006-07-10,3.00,22.30,5.50,3.50,5.20,6.36,4.10,0.00,48.00
"R",2006,191,2006-07-10,3.50,22.40,6.00,4.50,5.40,6.29,4.00,0.00,15.17
"E",2006,192,2006-07-11,3.00,22.40,3.50,0.00,2.90,0.77,2.50,0.00,82.20
"W",2006,192,2006-07-11,2.50,23.00,3.50,0.00,3.20,2.49,3.00,0.00,82.20
"R",2006,198,2006-07-17,3.50,26.70,6.50,5.00,5.90,8.60,3.30,0.00,15.08
"L",2006,199,2006-07-18,3.50,25.90,5.50,2.50,4.90,3.10,3.70,0.00,45.00
"M",2006,200,2006-07-19,4.50,25.40,10.00,4.50,7.80,9.21,5.10,0.00,40.00
"L",2006,205,2006-07-24,3.50,24.40,5.00,0.00,5.20,3.38,3.90,5.84,42.50
"R",2006,205,2006-07-24,3.50,23.70,6.50,4.00,5.80,7.09,3.60,5.84,14.96
"E",2006,206,2006-07-25,3.00,24.30,3.00,0.50,2.90,0.85,3.10,0.00,76.00
"W",2006,207,2006-07-26,3.00,24.40,3.50,0.00,3.10,1.13,2.70,2.54,76.00
"L",2006,212,2006-07-31,3.50,24.60,5.50,3.00,4.80,3.02,2.70,16.00,55.00
"R",2006,212,2006-07-31,3.50,24.50,6.50,3.50,5.90,6.53,3.50,16.00,15.38
"M",2006,213,2006-08-01,5.50,25.40,9.00,5.00,7.40,4.00,3.60,8.64,50.00
"L",2006,219,2006-08-07,4.00,23.40,5.00,0.00,5.00,2.33,3.70,0.51,56.00
"R",2006,219,2006-08-07,4.00,23.30,6.50,4.00,6.40,5.98,3.90,0.51,15.40
"E",2006,220,2006-08-08,3.50,22.90,3.00,0.00,3.00,,3.10,0.00,88.30
"W",2006,220,2006-08-08,3.50,23.00,3.00,0.00,3.00,0.53,2.60,0.00,88.30
"R",2006,226,2006-08-14,4.00,22.50,6.50,4.00,5.90,4.25,4.25,2.03,15.30
"L",2006,227,2006-08-15,4.00,21.90,5.50,0.50,4.80,1.91,3.70,0.00,53.00
"M",2006,228,2006-08-16,6.00,22.30,9.00,2.50,7.80,3.74,5.00,0.00,45.00
"L",2006,233,2006-08-21,4.00,21.80,6.00,0.00,5.50,2.78,3.80,0.00,56.00
"R",2006,233,2006-08-21,5.00,22.10,6.50,4.00,6.90,3.85,4.50,0.00,15.38
"E",2006,234,2006-08-22,3.50,22.10,3.00,0.00,3.00,,2.90,0.00,87.50
"W",2006,235,2006-08-23,3.50,21.20,3.00,0.00,3.40,0.88,2.50,0.00,87.50
"L",2006,238,2006-08-26,4.50,20.60,4.50,0.00,5.60,2.20,4.25,6.86,58.00
"R",2006,238,2006-08-26,4.50,21.00,6.50,0.00,6.90,4.84,5.00,6.86,15.44
"M",2006,239,2006-08-27,6.50,22.20,9.00,0.00,7.40,1.92,5.40,0.25,52.00
"L",2007,142,2007-05-22,3.00,15.80,6.00,4.00,5.90,11.00,4.90,0.60,55.00
"L",2007,143,2007-05-23,3.00,18.90,6.00,4.50,,10.30,4.70,0.00,55.00
"R",2007,144,2007-05-24,3.50,18.40,6.50,3.50,5.90,7.50,4.40,8.50,15.54
"L",2007,148,2007-05-28,3.50,15.60,6.00,4.00,5.90,6.20,5.20,0.00,56.00
"R",2007,149,2007-05-29,3.50,16.50,6.50,4.50,6.10,8.80,4.60,0.00,15.54
"L",2007,155,2007-06-04,3.50,19.20,6.00,3.50,6.30,8.10,4.50,0.60,55.50
"R",2007,156,2007-06-05,3.50,17.70,6.50,4.50,6.20,8.30,4.10,0.00,15.50
"L",2007,162,2007-06-11,3.00,21.20,6.00,4.50,5.90,9.40,5.60,0.00,53.00
"R",2007,163,2007-06-12,3.00,22.40,6.50,5.00,5.40,10.30,4.85,0.00,15.42
"L",2007,169,2007-06-18,3.50,23.90,6.50,3.50,5.90,7.20,5.50,4.40,50.00
"R",2007,170,2007-06-19,3.00,22.30,9.00,5.00,6.00,10.90,3.50,24.50,15.44
"L",2007,176,2007-06-25,3.50,23.60,6.50,4.00,6.00,6.00,4.80,0.00,50.50
"R",2007,177,2007-06-26,3.00,24.80,7.00,5.50,6.20,10.90,4.25,0.00,15.36
"L",2007,183,2007-07-02,3.50,22.50,6.50,4.50,6.30,6.10,4.20,2.00,48.00
"R",2007,184,2007-07-03,3.50,21.90,8.00,5.00,6.30,10.70,4.60,0.40,15.24
"L",2007,190,2007-07-09,4.00,24.70,6.50,4.00,5.70,3.60,4.25,2.60,45.50
"R",2007,191,2007-07-10,3.50,24.40,7.00,5.00,6.60,10.50,4.20,0.00,15.14
"L",2007,197,2007-07-16,4.00,20.30,6.50,4.50,4.90,1.90,4.30,0.00,45.50
"R",2007,198,2007-07-17,4.00,21.80,7.00,5.50,6.20,6.30,5.10,0.00,15.12
"L",2007,204,2007-07-23,4.00,22.70,6.50,4.50,5.20,2.60,3.60,0.00,42.00
"R",2007,205,2007-07-24,4.50,22.70,7.00,5.00,6.90,6.90,5.00,0.00,14.06
"L",2007,211,2007-07-30,4.00,25.20,6.50,4.00,5.50,3.00,4.30,0.00,41.00
"R",2007,212,2007-07-31,1.50,25.00,7.00,4.50,6.40,34.50,4.10,0.00,15.00
"L",2007,218,2007-08-06,3.50,23.40,6.00,4.00,4.90,3.80,4.30,0.00,37.00
"R",2007,219,2007-08-07,5.00,23.90,7.00,6.00,6.60,4.10,4.20,0.00,14.88
"L",2007,225,2007-08-13,4.00,23.70,6.00,0.00,4.90,2.50,4.75,0.00,34.50
"R",2007,226,2007-08-14,4.00,23.80,6.50,5.00,6.80,8.50,4.20,0.00,14.78
"L",2007,232,2007-08-20,4.50,20.20,5.50,0.00,5.80,2.30,4.50,0.00,31.00
"R",2007,233,2007-08-21,4.50,20.00,6.50,5.00,6.60,6.00,3.80,0.00,14.66
"L",2007,239,2007-08-27,5.00,20.20,5.00,3.00,5.90,2.00,4.40,1.80,30.00
"R",2007,240,2007-08-28,5.50,21.00,6.50,4.50,6.60,2.60,4.10,15.00,14.64
