lakeid,year4,daynum,sampledate,depth,rep,sta,cl,so4,ca,mg,na,k,fe,mn,flagcl,flagso4,flagca,flagmg,flagna,flagk,flagfe,flagmn
"LR",2000,31,2000-01-31,0.00,1,1,,,,,,,0.03,0.05,,,,,,,,
"LR",2000,31,2000-01-31,4.00,1,1,,,,,,,0.04,0.04,,,,,,,,
"LR",2000,31,2000-01-31,9.00,1,1,,,,,,,1.20,0.05,,,,,,,,
"LR",2000,31,2000-01-31,0.00,1,2,,,,,,,0.02,0.02,,,,,,,,
"LR",2000,31,2000-01-31,4.00,1,2,,,,,,,0.00,0.03,,,,,,,,
"LR",2000,31,2000-01-31,6.00,1,2,,,,,,,0.01,0.03,,,,,,,,
"LR",2000,31,2000-01-31,6.00,2,2,,,,,,,0.01,0.04,,,,,,,,
"LR",2000,62,2000-03-02,0.00,1,1,0.36,2.74,1.20,0.36,0.20,0.86,0.05,0.04,,,,,,,,
"LR",2000,62,2000-03-02,4.00,1,1,0.27,2.20,1.09,0.31,0.15,0.72,0.07,0.04,,,"E","E","E","E","E","E"
"LR",2000,62,2000-03-02,9.00,1,1,0.22,1.26,1.31,0.33,0.17,0.77,1.45,0.06,,,,,,,,
"LR",2000,62,2000-03-02,0.00,1,2,0.41,1.79,1.08,0.31,0.24,0.65,0.05,0.04,,,,,,,,
"LR",2000,62,2000-03-02,4.00,1,2,0.38,1.61,1.05,0.31,0.22,0.60,0.08,0.05,,,,,,,,
"LR",2000,62,2000-03-02,6.00,1,2,0.30,1.57,1.07,0.32,0.23,0.60,0.08,0.06,"E","E",,,,,,
"LR",2000,62,2000-03-02,0.00,2,1,0.36,2.61,1.21,0.36,0.22,0.84,0.07,0.05,,,,,,,,
"LR",2000,91,2000-03-31,0.00,1,1,0.25,1.97,0.96,0.29,0.15,0.65,0.06,0.04,,,,,,,,
"LR",2000,91,2000-03-31,4.00,1,1,0.20,2.01,0.96,0.29,0.14,0.66,0.06,0.04,,,"E","E","E","E","E","E"
"LR",2000,91,2000-03-31,9.00,1,1,0.39,1.92,0.94,0.29,0.15,0.65,0.06,0.03,,,,,,,,
"LR",2000,91,2000-03-31,0.00,1,2,0.25,1.65,0.88,0.27,0.18,0.50,0.07,0.02,,,,,,,"L",
"LR",2000,91,2000-03-31,4.00,1,2,0.28,1.55,0.88,0.28,0.19,0.50,0.00,0.02,,,,,,,,
"LR",2000,91,2000-03-31,6.00,1,2,0.34,1.71,0.90,0.28,0.18,0.50,0.01,0.03,,,,,,,,
"LR",2000,91,2000-03-31,0.00,2,2,0.24,1.59,0.89,0.27,0.19,0.50,0.02,0.02,,,,,,,"L",
"LR",2000,130,2000-05-09,0.00,1,1,,,,,,,0.00,0.02,,,,,,,,
"LR",2000,130,2000-05-09,4.00,1,1,,,,,,,0.00,0.02,,,,,,,,
"LR",2000,130,2000-05-09,6.00,1,1,,,,,,,0.00,0.03,,,,,,,,
"LR",2000,130,2000-05-09,9.00,1,1,,,,,,,0.15,0.05,,,,,,,"L",
"LR",2000,130,2000-05-09,0.00,1,2,,,,,,,0.00,0.03,,,,,,,"E","E"
"LR",2000,130,2000-05-09,4.00,1,2,,,,,,,0.00,0.03,,,,,,,,
"LR",2000,130,2000-05-09,6.00,1,2,,,,,,,0.02,0.04,,,,,,,,
"LR",2000,130,2000-05-09,9.00,2,1,,,,,,,0.11,0.05,,,,,,,"L",
"LR",2000,157,2000-06-05,0.00,1,1,,,,,,,0.01,0.01,,,,,,,,
"LR",2000,157,2000-06-05,4.00,1,1,,,,,,,0.03,0.03,,,,,,,,
"LR",2000,157,2000-06-05,6.00,1,1,,,,,,,0.00,0.04,,,,,,,,
"LR",2000,157,2000-06-05,9.00,1,1,,,,,,,0.79,0.08,,,,,,,,
"LR",2000,157,2000-06-05,0.00,1,2,,,,,,,0.00,0.03,,,,,,,"E","E"
"LR",2000,157,2000-06-05,4.00,1,2,,,,,,,0.01,0.03,,,,,,,,
"LR",2000,157,2000-06-05,6.00,1,2,,,,,,,0.75,0.08,,,,,,,,
"LR",2000,157,2000-06-05,6.00,2,1,,,,,,,0.00,0.06,,,,,,,,
"LR",2000,187,2000-07-05,0.00,1,1,,,,,,,0.00,0.02,,,,,,,,
"LR",2000,187,2000-07-05,2.00,1,1,,,,,,,0.00,0.01,,,,,,,,
"LR",2000,187,2000-07-05,6.00,1,1,,,,,,,0.04,0.02,,,,,,,,
"LR",2000,187,2000-07-05,9.00,1,1,,,,,,,1.17,0.08,,,,,,,,
"LR",2000,187,2000-07-05,0.00,1,2,,,,,,,0.01,0.00,,,,,,,,
"LR",2000,187,2000-07-05,4.00,1,2,,,,,,,0.03,0.01,,,,,,,"E","E"
"LR",2000,187,2000-07-05,6.00,1,2,,,,,,,4.01,0.14,,,,,,,,
"LR",2000,187,2000-07-05,6.00,2,2,,,,,,,3.61,0.15,,,,,,,,
"LR",2000,213,2000-07-31,0.00,1,1,,,,,,,0.01,0.00,,,,,,,,
"LR",2000,213,2000-07-31,4.00,1,1,,,,,,,0.03,0.02,,,,,,,,
"LR",2000,213,2000-07-31,8.00,1,1,,,,,,,0.22,0.10,,,,,,,,
"LR",2000,213,2000-07-31,9.00,1,1,,,,,,,1.70,0.12,,,,,,,,
"LR",2000,213,2000-07-31,0.00,1,2,,,,,,,0.05,0.01,,,,,,,,
"LR",2000,213,2000-07-31,4.00,1,2,,,,,,,0.11,0.02,,,,,,,,
"LR",2000,213,2000-07-31,6.00,1,2,,,,,,,9.60,0.26,,,,,,,,
"LR",2000,213,2000-07-31,6.00,2,2,,,,,,,10.14,0.26,,,,,,,,
"LR",2000,242,2000-08-29,0.00,1,1,0.22,1.50,0.93,0.30,0.16,0.73,0.03,0.02,,,,,,,,
"LR",2000,242,2000-08-29,4.00,1,1,0.31,1.44,0.95,0.29,0.17,0.72,0.02,0.02,,,,,,,,
"LR",2000,242,2000-08-29,6.00,1,1,0.26,1.12,1.16,0.32,0.15,0.74,0.14,0.06,,,,,,,,
"LR",2000,242,2000-08-29,9.00,1,1,0.32,0.70,2.30,0.38,0.23,0.98,4.58,0.19,,,,,,,,
"LR",2000,242,2000-08-29,0.00,1,2,0.32,1.12,0.89,0.28,0.21,0.52,0.03,0.01,"E","E","E","E","E","E","E","E"
"LR",2000,242,2000-08-29,4.00,1,2,0.53,1.09,0.88,0.27,0.24,0.64,0.02,0.01,,,,,,,,
"LR",2000,242,2000-08-29,6.00,1,2,0.46,1.04,2.76,0.43,0.34,1.16,5.19,0.35,,,,,,,,
"LR",2000,242,2000-08-29,4.00,2,2,0.34,1.12,0.89,0.27,0.23,0.60,0.03,0.00,,,,,,,,
"LR",2000,269,2000-09-25,0.00,1,1,,,,,,,0.04,0.01,,,,,,,,
"LR",2000,269,2000-09-25,6.00,1,1,,,,,,,0.08,0.02,,,,,,,,
"LR",2000,269,2000-09-25,8.00,1,1,,,,,,,1.06,0.12,,,,,,,,
"LR",2000,269,2000-09-25,9.00,1,1,,,,,,,4.84,0.15,,,,,,,,
"LR",2000,269,2000-09-25,0.00,1,2,,,,,,,0.05,0.00,,,,,,,"E","E"
"LR",2000,269,2000-09-25,4.00,1,2,,,,,,,0.05,0.00,,,,,,,,
"LR",2000,269,2000-09-25,6.00,1,2,,,,,,,0.05,0.01,,,,,,,,
"LR",2000,269,2000-09-25,6.00,2,2,,,,,,,0.04,0.00,,,,,,,,
"LR",2000,297,2000-10-23,0.00,1,1,,,,,,,0.06,0.02,,,,,,,,
"LR",2000,297,2000-10-23,4.00,1,1,,,,,,,0.08,0.01,,,,,,,"E","E"
"LR",2000,297,2000-10-23,9.00,1,1,,,,,,,0.78,0.03,,,,,,,,
"LR",2000,297,2000-10-23,0.00,1,2,,,,,,,0.01,0.00,,,,,,,,
"LR",2000,297,2000-10-23,4.00,1,2,,,,,,,0.01,0.00,,,,,,,,
"LR",2000,297,2000-10-23,6.00,1,2,,,,,,,0.01,0.01,,,,,,,,
"LR",2000,297,2000-10-23,4.00,2,2,,,,,,,0.01,0.00,,,,,,,,
"LR",1996,197,1996-07-15,0.00,1,1,,,,,,,0.03,0.03,,,,,,,,
"LR",1996,197,1996-07-15,4.00,1,1,,,,,,,0.02,0.04,,,,,,,,
"LR",1996,197,1996-07-15,6.00,1,1,,,,,,,0.05,0.05,,,,,,,,
"LR",1996,197,1996-07-15,9.00,1,1,,,,,,,2.96,0.14,,,,,,,"E","E"
"LR",1996,197,1996-07-15,0.00,1,2,,,,,,,0.02,0.01,,,,,,,,
"LR",1996,197,1996-07-15,4.00,1,2,,,,,,,0.01,0.01,,,,,,,,
"LR",1996,197,1996-07-15,6.00,1,2,,,,,,,0.91,0.19,,,,,,,,
"LR",1996,197,1996-07-15,6.00,2,1,,,,,,,0.05,0.05,,,,,,,,
"LR",1996,225,1996-08-12,0.00,1,1,0.20,2.91,0.87,0.22,0.18,0.66,0.01,0.02,,,,,,,,
"LR",1996,225,1996-08-12,4.00,1,1,0.13,2.78,0.92,0.23,0.16,0.67,0.05,0.02,,,,,,,,
"LR",1996,225,1996-08-12,6.00,1,1,0.24,2.85,1.01,0.25,0.17,0.69,0.20,0.05,,,,,,,,
"LR",1996,225,1996-08-12,9.00,1,1,0.29,1.41,2.29,0.30,0.24,0.90,3.08,0.14,,,,,,,,
"LR",1996,225,1996-08-12,0.00,1,2,0.24,1.83,0.79,0.22,0.21,0.55,0.00,0.00,,,,,,,,
"LR",1996,225,1996-08-12,4.00,1,2,0.27,2.05,0.81,0.22,0.22,0.57,0.00,0.02,,,,,,,,
"LR",1996,225,1996-08-12,6.00,1,2,0.42,2.17,1.32,0.31,0.23,0.71,0.95,0.18,,,"E","E","E","E",,"E"
"LR",1996,225,1996-08-12,0.00,2,2,0.27,2.02,0.78,0.22,0.22,,0.00,0.01,,,,,,,,
"LR",1996,253,1996-09-09,0.00,1,1,,,,,,,0.01,0.02,,,,,,,,
"LR",1996,253,1996-09-09,4.00,1,1,,,,,,,0.10,0.02,,,,,,,,
"LR",1996,253,1996-09-09,6.00,1,1,,,,,,,0.28,0.07,,,,,,,,
"LR",1996,253,1996-09-09,9.00,1,1,,,,,,,4.40,0.20,,,,,,,,
"LR",1996,253,1996-09-09,0.00,1,2,,,,,,,0.01,0.02,,,,,,,,
"LR",1996,253,1996-09-09,4.00,1,2,,,,,,,0.06,0.02,,,,,,,,
"LR",1996,253,1996-09-09,6.00,1,2,,,,,,,1.84,0.40,,,,,,,"E","E"
"LR",1996,253,1996-09-09,4.00,2,2,,,,,,,0.00,0.02,,,,,,,,
"LR",1996,281,1996-10-07,0.00,1,1,,,,,,,0.00,0.01,,,,,,,,
"LR",1996,281,1996-10-07,4.00,1,1,,,,,,,0.00,0.02,,,,,,,,
"LR",1996,281,1996-10-07,6.00,1,1,,,,,,,0.06,0.02,,,,,,,,
"LR",1996,281,1996-10-07,9.00,1,1,,,,,,,5.36,0.22,,,,,,,,
"LR",1996,281,1996-10-07,0.00,1,2,,,,,,,0.00,0.01,,,,,,,"E","E"
"LR",1996,281,1996-10-07,4.00,1,2,,,,,,,0.00,0.02,,,,,,,,
"LR",1996,281,1996-10-07,6.00,1,2,,,,,,,0.00,0.01,,,,,,,,
"LR",1996,281,1996-10-07,4.00,2,1,,,,,,,0.00,0.02,,,,,,,,
"LR",1996,313,1996-11-08,0.00,1,1,0.17,2.83,0.98,0.25,0.15,0.70,0.02,0.01,,,,,,,,
"LR",1996,313,1996-11-08,4.00,1,1,0.16,2.77,1.04,0.26,0.14,0.68,0.02,0.02,,,,,,,,
"LR",1996,313,1996-11-08,6.00,1,1,0.20,2.82,0.99,0.25,0.14,0.70,0.03,0.01,,,,,,,,
"LR",1996,313,1996-11-08,9.00,1,1,0.22,2.87,0.99,0.25,0.14,0.72,0.03,0.01,,,,,,,,
"LR",1996,313,1996-11-08,0.00,1,2,0.23,2.05,0.84,0.22,0.21,0.62,0.02,0.00,,,,,,,,
"LR",1996,313,1996-11-08,4.00,1,2,0.23,2.04,0.82,0.22,0.21,0.64,0.03,0.00,,,,,,,,
"LR",1996,313,1996-11-08,6.00,1,2,0.23,2.03,0.84,0.22,0.21,0.64,0.00,0.00,,,,,,,,
"LR",1996,313,1996-11-08,6.00,2,2,0.22,2.05,0.86,0.24,0.20,0.62,0.00,0.00,,,,,"E",,,"E"
"LR",1997,29,1997-01-29,0.00,1,1,,,,,,,0.06,0.01,,,,,,,,
"LR",1997,29,1997-01-29,4.00,1,1,,,,,,,0.09,0.02,,,,,,,,
"LR",1997,29,1997-01-29,9.00,1,1,,,,,,,0.29,0.02,,,,,,,"E","E"
"LR",1997,29,1997-01-29,0.00,1,2,,,,,,0.01,0.00,,,,,,,,,
"LR",1997,29,1997-01-29,4.00,1,2,,,,,,0.06,0.00,,,,,,,,,
"LR",1997,29,1997-01-29,6.00,1,2,,,,,,0.07,0.00,,,,,,,,,
"LR",1997,29,1997-01-29,4.00,2,1,,,,,,,0.09,0.01,,,,,,,,
"LR",1997,56,1997-02-25,0.00,1,1,0.28,3.40,1.01,0.27,0.22,0.69,0.05,0.03,,,,,,,,
"LR",1997,56,1997-02-25,4.00,1,1,0.35,3.30,0.98,0.28,0.23,0.66,0.09,0.03,,,,,,,,
"LR",1997,56,1997-02-25,9.00,1,1,0.28,3.18,1.05,0.28,0.21,0.33,0.31,0.03,,,,,"E","E","E","E"
"LR",1997,56,1997-02-25,0.00,1,2,0.34,2.23,0.80,0.24,0.29,0.54,0.02,0.00,,,,,,,,
"LR",1997,56,1997-02-25,4.00,1,2,0.37,2.29,1.01,0.29,0.35,0.60,0.20,0.03,,,,,,,,
"LR",1997,56,1997-02-25,6.00,1,2,0.38,2.26,1.05,0.30,0.33,0.63,0.23,0.04,,,,,,,,
"LR",1997,56,1997-02-25,0.00,2,1,0.32,3.42,1.03,0.29,0.21,0.69,0.04,0.03,,,,,,,,
"LR",1997,132,1997-05-12,0.00,1,1,0.23,2.48,0.93,0.27,0.14,0.61,0.03,0.04,,,"E","E","E","E","E","E"
"LR",1997,132,1997-05-12,4.00,1,1,0.23,2.37,0.95,0.28,0.16,0.62,0.01,0.04,,,,,,,,
"LR",1997,132,1997-05-12,9.00,1,1,0.22,2.38,1.15,0.31,0.16,0.71,0.50,0.07,,,,,,,,
"LR",1997,132,1997-05-12,0.00,1,2,0.29,1.74,0.91,0.28,0.23,0.59,0.09,0.03,,,,,,,,
"LR",1997,132,1997-05-12,4.00,1,2,0.39,1.36,0.89,0.28,0.23,0.57,0.15,0.04,"E",,,,,,,
"LR",1997,132,1997-05-12,6.00,1,2,0.31,1.84,0.86,0.29,0.25,0.59,0.10,0.05,,,,,,,,
"LR",1997,132,1997-05-12,4.00,2,1,0.23,2.38,0.94,0.27,0.15,0.63,0.00,0.04,,,,,,,,
"LR",1997,160,1997-06-09,0.00,1,1,,,,,,,0.00,0.00,,,,,,,,
"LR",1997,160,1997-06-09,2.00,1,1,,,,,,,0.00,0.00,,,,,,,,
"LR",1997,160,1997-06-09,6.00,1,1,,,,,,,0.04,0.02,,,,,,,,
"LR",1997,160,1997-06-09,9.00,1,1,,,,,,,0.99,0.04,,,,,,,,
"LR",1997,160,1997-06-09,0.00,1,2,,,,,,,0.04,0.00,,,,,,,,
"LR",1997,160,1997-06-09,4.00,1,2,,,,,,,0.04,0.00,,,,,,,,
"LR",1997,160,1997-06-09,6.00,1,2,,,,,,,0.07,0.00,,,,,,,,
"LR",1997,160,1997-06-09,6.00,2,2,,,,,,,0.05,0.00,,,,,,,,
"LR",1997,188,1997-07-07,0.00,1,1,,,,,,,0.00,0.01,,,,,,,,
"LR",1997,188,1997-07-07,2.00,1,1,,,,,,,0.00,0.01,,,,,,,,
"LR",1997,188,1997-07-07,6.00,1,1,,,,,,,0.05,0.03,,,,,,,,
"LR",1997,188,1997-07-07,8.00,1,1,,,,,,,0.63,0.09,,,,,,,,
"LR",1997,188,1997-07-07,9.00,1,1,,,,,,,1.68,0.08,,,,,,,,
"LR",1997,188,1997-07-07,0.00,1,2,,,,,,,0.04,0.01,,,,,,,,
"LR",1997,188,1997-07-07,4.00,1,2,,,,,,,0.01,0.01,,,,,,,,
"LR",1997,188,1997-07-07,6.00,1,2,,,,,,,0.32,0.06,,,,,,,,
"LR",1997,216,1997-08-04,0.00,1,1,,,,,,,0.05,0.02,,,,,,,,
"LR",1997,216,1997-08-04,2.00,1,1,,,,,,,0.08,0.03,,,,,,,,
"LR",1997,216,1997-08-04,6.00,1,1,,,,,,,0.18,0.05,,,,,,,,
"LR",1997,216,1997-08-04,9.00,1,1,,,,,,,1.67,0.12,,,,,,,,
"LR",1997,216,1997-08-04,0.00,1,2,,,,,,,0.00,0.16,,,,,,,"E","E"
"LR",1997,216,1997-08-04,2.00,1,2,,,,,,,0.06,0.02,,,,,,,,
"LR",1997,216,1997-08-04,6.00,1,2,,,,,,,1.75,0.27,,,,,,,,
"LR",1997,216,1997-08-04,2.00,2,1,,,,,,,0.07,0.02,,,,,,,,
"LR",1997,245,1997-09-02,0.00,1,1,0.32,2.26,0.92,0.27,0.14,0.63,0.00,0.02,"E","E",,,,,,
"LR",1997,245,1997-09-02,4.00,1,1,0.26,2.27,0.95,0.27,0.15,0.65,0.00,0.02,,,,,,,,
"LR",1997,245,1997-09-02,6.00,1,1,0.29,2.15,1.24,0.30,0.14,0.69,0.28,0.05,,,,,,,,
"LR",1997,245,1997-09-02,9.00,1,1,0.35,0.98,2.28,0.36,0.20,0.98,2.75,0.14,,,,,,,,
"LR",1997,245,1997-09-02,0.00,1,2,0.34,1.63,0.81,0.28,0.23,0.60,0.00,0.00,,,,,,,,
"LR",1997,245,1997-09-02,4.00,1,2,0.34,1.63,0.81,0.28,0.23,0.62,0.00,0.00,,,,,,,,
"LR",1997,245,1997-09-02,6.00,1,2,0.36,1.80,1.06,0.31,0.24,0.65,0.39,0.04,,,,,,,,
"LR",1997,245,1997-09-02,0.00,2,2,0.34,1.63,0.82,0.28,0.24,0.62,0.00,0.00,,,,,,,,
"LR",1997,272,1997-09-29,0.00,1,1,,,,,,,0.04,0.00,,,,,,,,
