lakeid,year4,daynum,sampledate,sta,nsnow,avsnow,sdsnow,wlevel,totice,nice,whiteice,blueice
"LR",2000,31,2000-01-31,1,,10.100,,2.000,35.000,,13.000,22.000
"LR",2000,31,2000-01-31,2,,14.500,,1.000,30.000,,15.000,15.000
"LR",2000,62,2000-03-02,1,,0.100,,2.000,33.000,,16.000,17.000
"LR",2000,62,2000-03-02,2,,0.400,,2.000,27.000,,13.000,14.000
"LR",1984,4,1984-01-04,1,10,7.100,1.500,,25.700,1,14.200,11.500
"LR",1984,4,1984-01-04,2,10,5.200,2.000,,33.300,1,14.500,18.800
"LR",1984,4,1984-01-04,3,0,,,,27.200,1,11.500,15.700
"LR",1984,4,1984-01-04,4,0,,,,26.700,1,9.800,16.900
"LR",1984,53,1984-02-22,1,10,5.100,1.000,2.500,39.000,1,20.500,18.500
"LR",1984,53,1984-02-22,2,10,3.000,0.600,3.000,38.500,1,18.500,20.000
"LR",1984,53,1984-02-22,3,10,12.100,2.400,1.000,41.000,1,24.000,17.000
"LR",1984,53,1984-02-22,4,10,4.200,0.800,1.000,37.000,1,16.000,21.000
"LR",1984,96,1984-04-05,1,10,0.000,0.000,2.500,44.500,1,27.500,17.000
"LR",1984,96,1984-04-05,2,10,0.000,0.000,2.000,42.000,1,21.000,21.000
"LR",1984,96,1984-04-05,3,10,0.000,0.000,4.000,46.000,1,31.000,15.000
"LR",1984,96,1984-04-05,4,10,0.000,0.000,-6.000,24.000,1,9.000,15.000
"LR",1984,338,1984-12-03,1,8,17.100,0.500,,11.800,,0.000,11.800
"LR",1984,338,1984-12-03,3,1,17.000,,,12.500,,0.000,12.500
"LR",1984,339,1984-12-04,2,10,15.300,0.700,,11.500,,0.000,11.500
"LR",1984,339,1984-12-04,4,1,4.000,,,6.100,,0.000,6.100
"LR",1985,16,1985-01-16,1,10,12.600,1.600,,25.500,,5.500,20.000
"LR",1985,16,1985-01-16,2,10,10.900,0.600,,27.000,,8.000,19.000
"LR",1985,52,1985-02-21,1,10,23.600,0.700,-4.000,31.000,,20.000,11.000
"LR",1985,52,1985-02-21,2,10,23.700,1.000,-4.000,32.000,,19.000,13.000
"LR",1985,79,1985-03-20,1,10,2.500,0.300,5.000,47.000,,32.000,15.000
"LR",1985,79,1985-03-20,2,10,3.100,0.800,4.000,45.000,,10.000,35.000
"LR",1985,92,1985-04-02,1,10,3.800,1.000,2.000,23.000,,23.000,0.000
"LR",1985,92,1985-04-02,2,10,3.400,1.000,,27.000,,27.000,0.000
"LR",1985,339,1985-12-05,1,10,6.000,0.000,3.000,32.000,,26.000,6.000
"LR",1985,339,1985-12-05,2,10,38.000,0.000,-1.000,11.000,,6.000,5.000
"LR",1986,23,1986-01-23,1,10,26.100,1.500,-2.500,35.000,,28.000,7.000
"LR",1986,23,1986-01-23,2,10,27.700,2.500,-3.000,29.000,,18.000,11.000
"LR",1986,65,1986-03-06,1,10,28.200,1.600,0.000,49.000,,41.000,8.000
"LR",1986,65,1986-03-06,2,10,26.100,2.400,-2.000,39.000,,33.000,6.000
"LR",1986,335,1986-12-01,1,2,0.500,0.700,0.000,7.700,1,3.000,4.700
"LR",1986,335,1986-12-01,2,10,10.000,0.000,0.000,9.200,1,2.000,7.200
"LR",1987,22,1987-01-22,1,10,14.600,3.200,0.000,27.000,1,13.000,14.000
"LR",1987,22,1987-01-22,2,10,16.100,1.800,0.000,32.000,1,10.000,22.000
"LR",1987,61,1987-03-02,1,10,19.400,2.500,-1.000,34.000,1,21.000,13.000
"LR",1987,61,1987-03-02,2,10,20.100,2.600,0.000,32.000,1,18.000,14.000
"LR",1987,82,1987-03-23,1,1,0.000,,2.000,26.000,,19.000,7.000
"LR",1987,82,1987-03-23,2,1,0.000,,2.000,28.000,,19.000,9.000
"LR",1987,344,1987-12-10,1,0,,,-1.000,11.000,1,3.000,8.000
"LR",1987,344,1987-12-10,2,1,1.000,,-1.000,12.000,1,5.000,7.000
"LR",1988,21,1988-01-21,1,10,16.700,2.200,0.000,29.500,1,26.000,3.500
"LR",1988,21,1988-01-21,2,10,21.900,1.600,0.000,29.000,1,17.000,12.000
"LR",1988,67,1988-03-07,1,10,5.800,1.300,2.500,54.000,2,25.000,29.000
"LR",1988,67,1988-03-07,2,10,12.300,2.500,2.000,46.000,3,27.000,19.000
"LR",1988,82,1988-03-22,1,10,7.400,0.700,3.000,51.000,3,45.000,6.000
"LR",1988,82,1988-03-22,2,10,7.900,1.000,2.000,44.000,3,39.000,5.000
"LR",1988,341,1988-12-06,1,10,1.000,0.000,1.000,19.000,1,11.000,8.000
"LR",1988,341,1988-12-06,2,10,1.000,0.000,1.000,17.000,1,5.000,12.000
"LR",1989,23,1989-01-23,1,,10.900,,0.000,27.300,,5.300,22.000
"LR",1989,23,1989-01-23,2,,11.000,,,29.500,,7.500,22.000
"LR",1989,58,1989-02-27,1,,20.500,,0.000,46.500,,22.000,24.500
"LR",1989,58,1989-02-27,2,,20.600,,-1.000,51.000,,25.000,26.000
"LR",1989,89,1989-03-30,1,,,,3.000,44.000,,25.000,19.000
"LR",1989,89,1989-03-30,2,,,,4.000,45.000,,23.000,22.000
"LR",1989,339,1989-12-05,1,,2.800,,0.600,21.500,,3.000,18.500
"LR",1989,339,1989-12-05,2,,0.900,,1.000,21.500,,7.000,14.500
"LR",1990,22,1990-01-22,1,,8.700,,1.000,42.000,,15.000,27.000
"LR",1990,22,1990-01-22,2,,11.500,,3.000,41.000,,19.000,22.000
"LR",1990,57,1990-02-26,1,,16.600,,0.000,47.000,,42.000,5.000
"LR",1990,57,1990-02-26,2,,16.400,,0.000,48.000,,30.000,18.000
"LR",1990,85,1990-03-26,1,,0.000,,3.000,38.000,,13.000,25.000
"LR",1990,85,1990-03-26,2,,0.000,,4.000,37.000,,23.000,14.000
"LR",1990,354,1990-12-20,1,,6.300,,0.000,15.000,,0.000,15.000
"LR",1990,354,1990-12-20,2,,7.300,,0.000,18.000,,0.000,18.000
"LR",1991,49,1991-02-18,1,,6.200,,1.000,41.000,,4.000,37.000
"LR",1991,49,1991-02-18,2,,9.700,,0.000,42.500,,7.500,35.000
"LR",1991,86,1991-03-27,1,,0.000,,1.000,37.000,,4.000,33.000
"LR",1991,86,1991-03-27,2,,0.000,,2.000,38.000,,5.000,33.000
"LR",1991,345,1991-12-11,1,,11.400,,0.000,19.000,,13.000,6.000
"LR",1991,345,1991-12-11,2,,11.700,,0.000,17.000,,12.000,5.000
"LR",1992,16,1992-01-16,1,,11.200,,0.000,26.000,,17.000,9.000
"LR",1992,16,1992-01-16,2,,17.500,,-6.000,20.000,,12.000,8.000
"LR",1992,65,1992-03-05,1,,18.000,,-14.000,35.000,,16.000,19.000
"LR",1992,65,1992-03-05,2,,16.500,,-11.000,32.000,,24.000,8.000
"LR",1992,84,1992-03-24,1,,3.400,,1.000,40.000,,23.000,17.000
"LR",1992,84,1992-03-24,2,,3.050,,3.000,40.000,,27.000,13.000
"LR",1992,343,1992-12-08,1,,7.000,,-2.000,16.500,,0.000,16.500
"LR",1992,343,1992-12-08,2,,7.000,,-1.000,17.000,,0.500,16.500
"LR",1993,11,1993-01-11,1,,8.400,,1.000,32.000,,15.500,16.500
"LR",1993,11,1993-01-11,2,,7.600,,0.500,30.000,,17.500,12.500
"LR",1993,67,1993-03-08,1,,7.600,,3.000,49.000,,24.000,25.000
"LR",1993,67,1993-03-08,2,,8.400,,3.500,48.000,,27.000,21.000
"LR",1993,88,1993-03-29,1,,1.900,,1.500,43.000,,23.000,20.000
"LR",1993,88,1993-03-29,2,,3.400,,3.000,41.500,,23.500,18.000
"LR",1994,24,1994-01-24,1,,11.700,,0.000,29.000,,16.000,13.000
"LR",1994,26,1994-01-26,2,,18.400,,-16.000,25.000,,10.000,15.000
"LR",1994,59,1994-02-28,1,,2.200,,1.000,37.000,,15.000,22.000
"LR",1994,59,1994-02-28,2,,2.600,,1.000,40.000,,20.000,20.000
"LR",1994,90,1994-03-31,1,,13.200,,-2.000,27.000,,11.000,16.000
"LR",1994,90,1994-03-31,2,,10.900,,-4.000,30.000,,14.000,16.000
"LR",1995,16,1995-01-16,1,,3.400,,2.500,32.000,,5.500,26.500
"LR",1995,16,1995-01-16,2,,3.600,,3.000,28.000,,7.000,21.000
"LR",1995,53,1995-02-22,1,,18.700,,-0.500,41.000,,2.000,39.000
"LR",1995,53,1995-02-22,2,,20.600,,0.000,42.000,,5.000,37.000
"LR",1995,81,1995-03-22,1,,2.300,,1.000,30.000,,2.000,28.000
"LR",1995,81,1995-03-22,2,,2.400,,1.000,32.500,,2.500,30.000
"LR",1996,39,1996-02-08,1,,16.800,,1.000,49.000,,36.000,13.000
"LR",1996,39,1996-02-08,2,,20.200,,0.000,51.000,,38.000,13.000
"LR",1996,57,1996-02-26,1,,14.600,,0.000,50.000,,38.000,12.000
"LR",1996,57,1996-02-26,2,,15.600,,0.000,50.000,,42.000,8.000
"LR",1996,94,1996-04-03,1,,24.500,,-2.000,57.000,,48.000,9.000
"LR",1996,94,1996-04-03,2,,28.700,,-3.000,60.000,,51.000,9.000
"LR",1997,29,1997-01-29,1,,31.500,,-10.000,41.000,,41.000,0.000
"LR",1997,29,1997-01-29,2,,28.400,,0.000,45.000,,30.000,15.000
"LR",1997,56,1997-02-25,1,,9.500,,4.000,58.000,,43.000,15.000
"LR",1997,56,1997-02-25,2,,8.300,,5.000,37.000,,29.000,8.000
"LR",1998,21,1998-01-21,1,,25.500,,-4.000,27.000,,8.000,19.000
"LR",1998,21,1998-01-21,2,,29.800,,-6.000,23.000,,2.000,21.000
"LR",1998,56,1998-02-25,1,,0.000,,2.000,37.000,,14.000,23.000
"LR",1998,56,1998-02-25,2,,0.000,,0.000,33.000,,17.000,16.000
"LR",1998,76,1998-03-17,1,,9.900,,2.000,34.000,,19.000,15.000
"LR",1998,76,1998-03-17,2,,9.600,,1.000,31.000,,17.000,14.000
"LR",1999,25,1999-01-25,1,,31.000,,-5.000,29.000,,9.000,20.000
"LR",1999,25,1999-01-25,2,,25.900,,-2.000,27.000,,13.000,14.000
"LR",1999,60,1999-03-01,1,,6.700,,0.000,39.000,,27.000,12.000
"LR",1999,60,1999-03-01,2,,2.700,,2.000,40.000,,24.000,16.000
"LR",1999,81,1999-03-22,1,,1.400,,4.000,46.000,,29.000,17.000
"LR",1999,81,1999-03-22,2,,0.900,,4.000,47.000,,29.000,18.000
