200,181,,,,,,,,,fine organic matter, ,
61,56,Animalia,Arthropoda,Maxillopoda,Eucopepoda,Cyclopidae,Acanthocyclops,sp.,,benthic copepods,Acanthocyclops sp.,zoop
55,50,Animalia,Arthropoda,Branchiopoda,Cladocera,Macrothricidae,Acantholeberis,curvirostris,,benthic cladocera,Acantholeberis curvirostris,zoop
72,67,Animalia,Arthropoda,Insecta,Trichoptera,Phryganeidae,Agrypnia,sp.,,trichoptera,Agrypnia sp.,
90,84,Animalia,Arthropoda,Insecta,Diptera, ,Albabesmyia,sp.,,diptera,Albabesmyia sp.,
47,42,Animalia,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Alona,affinis,,benthic cladocera,Alona affinis,zoop
51,46,Animalia,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Alona,excisa,,benthic cladocera,Alona excisa,zoop
50,45,Animalia,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Alona,intermedia,,benthic cladocera,Alona intermedia,zoop
48,43,Animalia,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Alona,quadrangularis,,benthic cladocera,Alona quadrangularis,zoop
49,44,Animalia,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Alona,rustica,,benthic cladocera,Alona rustica,zoop
7,5,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Ambloplites,rupestris,,rock bass juv.,Ambloplites rupestris,
8,6,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Ambloplites,rupestris,,rock bass,Ambloplites rupestris,
166,155,Monera,Eubacteria,,,,Anabaena,sp.,,cyanobacteria,Anabaena sp.,
76,71,Animalia,Arthropoda,Insecta,Odonata,,Anisopetra ,sp.,,odonata,Anisopetra  sp.,
178,167,Protoctista,,,,,Ankistrodesmus,sp.,,green algae,Ankistrodesmus sp.,
161,150,Monera,Eubacteria,,,,Aphanocapsa,sp.,,cyanobacteria,Aphanocapsa sp.,
165,154,Monera,Eubacteria,,,,Aphanothece,sp.,,cyanobacteria,Aphanothece sp.,
167,156,Protoctista,,,,,Arthrodesmus,sp.,,green algae,Arthrodesmus sp.,
39,36,Animalia,Rotifera,Monogonanta,Ploima,Asplanchidae,Asplanchna,sp.,,pelagic rotifers,Asplanchna sp.,zoop
188,175,Protoctista,Chlorophyta,Chrysophyceae,nf,nf,Asterionella,sp.,,chrysophyceae,Asterionella sp.,
131,122,Proctoctista, , , , ,Bambusina,sp.,,filamentous algae,Bambusina sp.,
73,68,Animalia,Arthropoda,Insecta,Trichoptera,Phryganeidae,Banksiola,sp.,,trichoptera,Banksiola sp.,
132,123,Proctoctista,Rhodophyta,Rhodophyceae,Nemalionales,Batrachospermaceae,Batrachospermum,sp.,,filamentous algae,Batrachospermum sp.,
86,80,Animalia,Arthropoda,Insecta,Diptera,Ceroptogonidae,Bezzia,sp.,,diptera,Bezzia sp.,
133,124,Proctoctista,Chlorophyta,Chlorophyceae,Ulotrichales,Ulotrichaceae,Binuclearia,sp.,,filamentous algae,Binuclearia sp.,
20,17,Animalia,Arthropoda,Branchiopoda,Cladocera,Bosminidae,Bosmina,longirostris,,pelagic cladocera,Bosmina longirostris,zoop
134,125,Proctoctista,Chlorophyta,Chlorophyceae,Oedogoniales,Oedogoniaceae,Bulbochaete,sp.,,filamentous algae,Bulbochaete sp.,
68,63,Animalia,Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis,sp.,,ephemeroptera,Caenis sp.,
119,112,Animalia,Mollusca,Gastropoda,Mesogastropoda,Viviparidae,Campeloma,decisum,,mollusc,Campeloma decisum,
97,91,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chaetocladius,sp.,,chironomid,Chaetocladius sp.,
89,83,Animalia,Arthropoda,Insecta,Diptera,Choaboridae,Chaoborus,punctipennis,,diptera,Chaoborus punctipennis,
104,98,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,sp.,,chironomid,Chironomus sp.,
88,82,Animalia,Arthropoda,Insecta,Diptera,Choaboridae,Choaborus,albatus,,diptera,Choaborus albatus,
158,147,Proctoctista,Cyanophyta,Myxophyceae,Chroococcales,Chroococcaceae,Chroococcus,sp.,,cyanobacteria,Chroococcus sp.,
186,173,Protoctista,nf,nf,nf,nf,Chroomonas,sp.,,cryptophyta,Chroomonas sp.,
53,48,Animalia,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Chydorus,sp1,,benthic cladocera,Chydorus sp1,zoop
54,49,Animalia,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Chydorus,sp2,,benthic cladocera,Chydorus sp2,zoop
105,99,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cladopelma,sp.,,chironomid,Cladopelma sp.,
80,75,Animalia,Arthropoda,Insecta,Neuroptera,Sisyridae,Climacia,sp.,,neuroptera,Climacia sp.,
91,85,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Clinotanypus,sp.,,chironomid,Clinotanypus sp.,
163,152,Monera,Eubacteria,,,,Coelosphaerium,sp.,,cyanobacteria,Coelosphaerium sp.,
29,26,Animalia,Rotifera,Monogonanta,Flosculariacea,Conochilidae,Conochiloides,sp.,,pelagic rotifers,Conochiloides sp.,zoop
28,25,Animalia,Rotifera,Monogonanta,Flosculariacea,Conochilidae,Conochilus,unicornis,,pelagic rotifers,Conochilus unicornis,zoop
127,120,Animalia,Porifera,Demospongiae,nf,nf,Corvomyenia,everetti,,porifera,Corvomyenia everetti,
98,92,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,sp.,,chironomid,Corynoneura sp.,
168,157,Protoctista,,,,,Cosmarium,sp.,,green algae,Cosmarium sp.,
124,117,Animalia,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,Crangonyx,gracilis,,amphipod,Crangonyx gracilis,
99,93,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,sp.,,chironomid,Cricotopus sp.,
169,158,Protoctista,,,,,Crucigenia,sp.,,green algae,Crucigenia sp.,
106,100,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cryptochironomus,sp.,,chironomid,Cryptochironomus sp.,
187,174,Protoctista,nf,nf,nf,nf,Cryptomonas,sp.,,cryptophyta,Cryptomonas sp.,
22,19,Animalia,Arthropoda,Branchiopoda,Cladocera,Daphnidae,Daphnia,galeata,mendotae,pelagic cladocera,Daphnia galeata,zoop
23,20,Animalia,Arthropoda,Branchiopoda,Cladocera,Daphnidae,Daphnia,parvula,,pelagic cladocera,Daphnia parvula,zoop
135,126,Proctoctista, , , , ,Desmidium,sp.,,filamentous algae,Desmidium sp.,
16,13,Animalia,Arthropoda,Maxillopoda,Eucopepoda,Cyclopidae,Diacyclops,thomasi,,pelagic copepod,Diacyclops thomasi,zoop
24,21,Animalia,Arthropoda,Branchiopoda,Cladocera,Sididae,Diaphanosoma,birgei,,pelagic cladocera,Diaphanosoma birgei,zoop
15,12,Animalia,Arthropoda,Maxillopoda,Copepoda,Diaptomidae,Diaptomus,minutus,,pelagic copepod,Diaptomus minutus,zoop
189,176,Protoctista,Chlorophyta,Chrysophyceae,nf,nf,Dinobryon,sp.,,chrysophyceae,Dinobryon sp.,
52,47,Animalia,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Disparalona,acutirostris,,benthic cladocera,Disparalona acutirostris,zoop
92,86,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Djalmabatista,sp.,,chironomid,Djalmabatista sp.,
180,169,Protoctista,,,,,Elaktothrix,sp.,,green algae,Elaktothrix sp.,
79,74,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Enallagma,sp.,,odonata,Enallagma sp.,
107,101,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Endochrionomus,sp.,,chironomid,Endochrionomus sp.,
85,79,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Eoparagyractis,sp.,,lepidoptera,Eoparagyractis sp.,
126,119,Animalia,Porifera,Demospongiae,Ceractinormorpha,nf,Ephydatia,muelleri,,porifera,Ephydatia muelleri,
19,16,Animalia,Arthropoda,Maxillopoda,Eucopepoda,Temoridae,Epischura,lacustris,,pelagic copepod,Epischura lacustris,zoop
170,159,Protoctista,,,,,Euastrum,sp.,,green algae,Euastrum sp.,
21,18,Animalia,Arthropoda,Branchiopoda,Cladocera,Bosminidae,Eubosmina,sp.,,pelagic cladocera,Eubosmina sp.,zoop
60,55,Animalia,Arthropoda,Maxillopoda,Eucopepoda,Cyclopidae,Eucyclops,serrulatus,,benthic copepods,Eucyclops serrulatus,zoop
40,37,Animalia,Rotifera,Monogonanta, , ,Gastropus,sp.,,pelagic rotifers,Gastropus sp.,zoop
136,127,Proctoctista,Chlorophyta,Chlorophyceae,Ulotrichales,Ulotrichaceae,Geminella,sp.,,filamentous algae,Geminella sp.,
65,60,Animalia,Arthropoda,Insecta,Hemiptera,Gerridae,Gerris,sp.,,hemiptera,Gerris sp.,
159,148,Proctoctista,Cyanophyta,Myxophyceae,Chroococcales,Chroococcaceae,Gloeothece,sp.,,cyanobacteria,Gloeothece sp.,
108,102,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Glyptotendipes,sp.,,chironomid,Glyptotendipes sp.,
162,151,Monera,Eubacteria,,,,Gomphosphaeria,sp.,,cyanobacteria,Gomphosphaeria sp.,
137,128,Proctoctista,Cyanophyta,Myxophyceae,Homogonales,Stigonemataceae,Groenbladia,sp.,,filamentous algae,Groenbladia sp.,
93,87,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Guttipelopia,sp.,,chironomid,Guttipelopia sp.,
138,129,Proctoctista,Cyanophyta,Myxophyceae,Homogonales,Stigonemataceae,Hapalosiphon,sp.,,filamentous algae,Hapalosiphon sp.,
25,22,Animalia,Arthropoda,Branchiopoda,Cladocera,Holopedidae,Holopedium,gibberum,,pelagic cladocera,Holopedium gibberum,zoop
139,130,Proctoctista, , , , ,Hyalotheca,sp.,,filamentous algae,Hyalotheca sp.,
66,61,Animalia,Arthropoda,Insecta,Coleoptera,Coleoptera,Hydroporus,sp.,,coleoptera,Hydroporus sp.,
31,28,Animalia,Rotifera,Monogonanta,Ploima,Brachionidae,Kellicottia,bostoniensis,,pelagic rotifers,Kellicottia bostoniensis,zoop
30,27,Animalia,Rotifera,Monogonanta,Ploima,Brachionidae,Kellicottia,longispina,,pelagic rotifers,Kellicottia longispina,zoop
32,29,Animalia,Rotifera,Monogonanta,Ploima,Brachionidae,Keratella,cochlearis,,pelagic rotifers,Keratella cochlearis,zoop
34,31,Animalia,Rotifera,Monogonanta,Ploima,Brachionidae,Keratella,crassa,,pelagic rotifers,Keratella crassa,zoop
35,32,Animalia,Rotifera,Monogonanta,Ploima,Brachionidae,Keratella,hiemalis,,pelagic rotifers,Keratella hiemalis,zoop
33,30,Animalia,Rotifera,Monogonanta,Ploima,Brachionidae,Keratella,taurocephala,,pelagic rotifers,Keratella taurocephala,zoop
94,88,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Larsia,sp.,,chironomid,Larsia sp.,
26,23,Animalia,Arthropoda,Branchiopoda,Cladocera,Leptodoridae,Leptodora,kindtii,,pelagic cladocera,Leptodora kindtii,zoop
67,62,Animalia,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Leptophlebia,sp.,,ephemeroptera,Leptophlebia sp.,
77,72,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula,sp.,,odonata,Libellula sp.,
71,66,Animalia,Arthropoda,Insecta,Trichoptera,Limnephilidae,Limnephilus,sp.,,trichoptera,Limnephilus sp.,
140,131,Proctoctista,Cyanophyta,Myxophyceae,Hormogonales,Oscillatoriaceae,Lyngbya,sp.,,filamentous algae,Lyngbya sp.,
59,54,Animalia,Arthropoda,Maxillopoda,Eucopepoda,Cyclopidae,Macrocyclops,albidus,,benthic copepods,Macrocyclops albidus,zoop
95,89,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Macropelopis,sp.,,chironomid,Macropelopis sp.,
190,177,Protoctista,Chlorophyta,Chrysophyceae,Chrysomonadales,Mallomonadaceae,Mallomonas,sp.,,chrysophyceae,Mallomonas sp.,
160,149,Proctoctista,Cyanophyta,Myxophyceae,Chroococcales,Chroococcaceae,Merismopedia,sp.,,cyanobacteria,Merismopedia sp.,
17,14,Animalia,Arthropoda,Maxillopoda,Eucopepoda,Cyclopidae,Mesocyclops,edax,,pelagic copepod,Mesocyclops edax,zoop
141,132,Proctoctista,Cyanophyta,Myxophyceae,Hormogonales,Scytonemataceae,Microchaete,sp.,,filamentous algae,Microchaete sp.,
142,133,Proctoctista,Cyanophyta,Myxophyceae,Hormogonales,Oscillatoriaceae,Microcoleus,sp.,,filamentous algae,Microcoleus sp.,
62,57,Animalia,Arthropoda,Maxillopoda,Eucopepoda,Cyclopidae,Microcyclops,rubellus,,benthic copepods,Microcyclops rubellus,zoop
101,95,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Micropsectra,sp.,,chironomid,Micropsectra sp.,
5,3,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Micropterus ,salmoides,,largemouth bass juv.,Micropterus  salmoides,
6,4,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Micropterus ,salmoides,,largemouth bass,Micropterus  salmoides,
109,103,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Microtendipes,sp.,,chironomid,Microtendipes sp.,
74,69,Animalia,Arthropoda,Insecta,Trichoptera,Molannidae,Molanna,sp.,,trichoptera,Molanna sp.,
143,134,Proctoctista,Cyanophyta,Chlorophyceae,Zygnematales,Zygnemataceae,Mougeotia,sp.,,filamentous algae,Mougeotia sp.,
70,65,Animalia,Arthropoda,Insecta,Trichoptera,Leptoceridae,Mystacides,sp.,,trichoptera,Mystacides sp.,
100,94,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Nanocladius,sp.,,chironomid,Nanocladius sp.,
42,39,Animalia,Arthropdoa,Maxillopoda,Copepoda,nf,Nauplii,sp.,,juvenile pelagic zooplankton,Nauplii sp.,zoop
13,11,Animalia,Chordata,nf,nf,nf,nf,nf,,fish eggs,nf nf,
43,40,Animalia,Rotifera,Monogonanta,nf,nf,nf,nf,,juvenile pelagic zooplankton,nf nf,zoop
44,41,Animalia,Rotifera,Monogonanta,nf,nf,nf,nf,,juvenile pelagic zooplankton,nf nf,zoop
63,58,Animalia,Arthropoda,Maxillopoda,Eucopepoda,nf,nf,nf,,benthic copepods,nf nf,zoop
64,59,Animalia,Arthropoda,Maxillopoda,Eucopepoda,nf,nf,nf,,benthic copepods,nf nf,zoop
82,76,Animalia,Arthropoda,Insecta,Hemiptera,Vellidae,nf,nf,,hemiptera,nf nf,
83,77,Animalia,Arthropoda,Insecta,Hemiptera,Notonectidae,nf,nf,,hemiptera,nf nf,
118,111,Animalia,Mollusca,Pelecypoda,nf,nf,nf,nf,,mollusc,nf nf,
120,113,Animalia,Mollusca,Pelecypoda,nf,Sphaeriidae,nf,nf,,mollusc,nf nf,
121,114,Animalia,Annelida,Oligochaeta,nf,nf,nf,nf,,annelid ,nf nf,
122,115,Animalia,Annelida,Hirundinidae,nf,nf,nf,nf,,annelid ,nf nf,
123,116,Animalia,Platyhelminthes,Turbellaria,Tricladida,nf,nf,nf,,tubellaria,nf nf,
128,121,Animalia,Arthropdoa,Hydracarina,nf,nf,nf,nf,,arthropod,nf nf,
12,10,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notemigonus,crysoleucus,,shiner,Notemigonus crysoleucus,
69,64,Animalia,Arthropoda,Insecta,Trichoptera,Leptoceridae,Oecetis,sp.,,trichoptera,Oecetis sp.,
144,135,Proctoctista,Cyanophyta,Chlorophyceae,Oedogoniales,Oedogoniaceae,Oedogonium,sp.,,filamentous algae,Oedogonium sp.,
171,160,Protoctista,,,,,Oocystis,sp.,,green algae,Oocystis sp.,
56,51,Animalia,Arthropoda,Branchiopoda,Cladocera,Bosminidae,Ophryoxus,gracilis,,benthic cladocera,Ophryoxus gracilis,zoop
145,136,Proctoctista,Cyanophyta,Myxophyceae,Hormogonales,Oscillatoriaceae,Oscillatoria,sp.,,filamentous algae,Oscillatoria sp.,
110,104,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Parachironomus,sp.,,chironomid,Parachironomus sp.,
102,96,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Paratanytarsus,sp.,,chironomid,Paratanytarsus sp.,
111,105,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Paratendipes,sp.,,chironomid,Paratendipes sp.,
172,161,Protoctista,,,,,Pediastrum,sp.,,green algae,Pediastrum sp.,
1,1,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Perca,flavescens,,yellow perch juv,Perca flavescens,
4,2,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Perca,flavescens,,yellow perch,Perca flavescens,
182,171,Protoctista,Sarcomastigophora,Phytomastigophora,Euglenida,nf,Phacus,sp.,,euglenophyta,Phacus sp.,
146,137,Proctoctista,Cyanophyta,Myxophyceae,Hormogonales,Oscillatoriaceae,Phormidium,sp.,,filamentous algae,Phormidium sp.,
147,138,Proctoctista,Cyanophyta,Myxophyceae,Hormogonales,Scytonemataceae,Plectonema,sp.,,filamentous algae,Plectonema sp.,
36,33,Animalia,Rotifera,Monogonanta,Ploima,Dicranophoridae,Polyarthra,remata,,pelagic rotifers,Polyarthra remata,zoop
37,34,Animalia,Rotifera,Monogonanta,Ploima,Dicranophoridae,Polyarthra,vulgaris,,pelagic rotifers,Polyarthra vulgaris,zoop
75,70,Animalia,Arthropoda,Insecta,Trichoptera,Polycentropodidae,Polycentropus,sp.,,trichoptera,Polycentropus sp.,
112,106,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,sp.,,chironomid,Polypedilum sp.,
27,24,Animalia,Arthropoda,Branchiopoda,Cladocera,Polyphemidae,Polyphemus,pediculuc,,pelagic cladocera,Polyphemus pediculuc,zoop
9,7,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,nigromaculatus,,black crappie juv.,Pomoxis nigromaculatus,
10,8,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,nigromaculatus,,black crappie,Pomoxis nigromaculatus,
96,90,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Procladius,sp.,,chironomid,Procladius sp.,
113,107,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Pseudochironomus,sp.,,chironomid,Pseudochironomus sp.,
173,162,Protoctista,,,,,Quadrigula,sp.,,green algae,Quadrigula sp.,
148,139,Proctoctista,Cyanophyta,Chlorophyceae,Ulotrichales,Ulotrichaceae,Radiofilum,sp.,,filamentous algae,Radiofilum sp.,
164,153,Monera,Eubacteria,,,,Rhabdoderma,sp.,,cyanobacteria,Rhabdoderma sp.,
149,140,Proctoctista,Cyanophyta,Chlorophyceae,Cladophorales,Cladophoraceae,Rhizoclonium,sp.,,filamentous algae,Rhizoclonium sp.,
57,52,Animalia,Arthropoda,Branchiopoda,Cladocera,Daphnidae,Scapholeberis,kingi,,benthic cladocera,Scapholeberis kingi,zoop
181,170,Protoctista,,,,,Scenedesmus,sp.,,green algae,Scenedesmus sp.,
150,141,Proctoctista,Cyanophyta,Myxophyceae,Hormogonales,Oscillatoriaceae,Schizothrix,sp.,,filamentous algae,Schizothrix sp.,
174,163,Protoctista,,,,,Schroederia,sp.,,green algae,Schroederia sp.,
151,142,Proctoctista,Cyanophyta,Myxophyceae,Hormogonales,Scytonemataceae,Scytonema,sp.,,filamentous algae,Scytonema sp.,
84,78,Animalia,Arthropoda,Insecta,Megaloptera,Sialidae,Sialis,sp.,,megaloptera,Sialis sp.,
58,53,Animalia,Arthropoda,Branchiopoda,Cladocera,Sididae,Sida,crystallina,,benthic cladocera,Sida crystallina,zoop
87,81,Animalia,Arthropoda,Insecta,Diptera,Ceroptogonidae,Sphaeromais,sp.,,diptera,Sphaeromais sp.,
152,143,Proctoctista, , , , ,Sphaerozosma,sp.,,filamentous algae,Sphaerozosma sp.,
153,144,Proctoctista,Chlorophyta,Chlorophyceae,Zygnematales,Zygnemataceae,Spirogyra,sp.,,filamentous algae,Spirogyra sp.,
175,164,Protoctista,,,,,Spondylosium,sp.,,green algae,Spondylosium sp.,
125,118,Animalia,Porifera,Demospongiae,Ceractinormorpha,Spongillidae,Spongilla,lacustris,,porifera,Spongilla lacustris,
176,165,Protoctista,,,,,Stauastrum,sp.,,green algae,Stauastrum sp.,
114,108,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Stenochironomus,sp.,,chironomid,Stenochironomus sp.,
115,109,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Stictochironomus,sp.,,chironomid,Stictochironomus sp.,
78,73,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Sympetrum,sp.,,odonata,Sympetrum sp.,
41,38,Animalia,Rotifera,Monogonanta, , ,Synchaeta,sp.,,pelagic rotifers,Synchaeta sp.,zoop
191,178,Protoctista,Chlorophyta,Chrysophyceae,nf,nf,Synedra,sp.,,chrysophyceae,Synedra sp.,
192,179,Protoctista,Chlorophyta,Chrysophyceae,Chrysomonadales,Synuraceae,Synura,sp.,,chrysophyceae,Synura sp.,
193,180,Protoctista,Chlorophyta,Chrysophyceae,nf,nf,Tabellaria,sp.,,chrysophyceae,Tabellaria sp.,
103,97,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,sp.,,chironomid,Tanytarsus sp.,
web,ref,Kingdom,Phylum,Class,Order,Family,Genus,Species,Sub.Var,Common.Name,taxa,group
177,166,Protoctista,,,,,Tetraedron,sp.,,green algae,Tetraedron sp.,
183,172,Protoctista,Sarcomastigophora,Phytomastigophora,Euglenida,nf,Trachelomonas,sp.,,euglenophyta,Trachelomonas sp.,
154,145,Proctoctista,Chrsophyta,Xanthophyceae,Heterotrichales,Tribonemataceae,Tribonema,sp.,,filamentous algae,Tribonema sp.,
38,35,Animalia,Rotifera,Monogonanta,Ploima,Trichocercidae,Trichocerca,cylindrica,,pelagic rotifers,Trichocerca cylindrica,zoop
18,15,Animalia,Arthropoda,Maxillopoda,Eucopepoda,Cyclopidae,Tropocyclops,prasinus,,pelagic copepod,Tropocyclops prasinus,zoop
11,9,Animalia,Chordata,Osteichthyes,Esociformes,Umbridae,Umbra,sp.,,mudminnow,Umbra sp.,
179,168,Protoctista,,,,,Xanthidium,sp.,,green algae,Xanthidium sp.,
116,110,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Xenochironomus,sp.,,chironomid,Xenochironomus sp.,
155,146,Proctoctista,Chlorophyta,Chlorophyceae,Zygnematales,Zygnemataceae,Zygnema,sp.,,cyanobacteria,Zygnema sp.,
